Name,Username,Twitter Handle,Numbers of followers,Number of following,Date Created,Tweets
gone_eth,zyfzyf310_eth,@zyfzyf310_eth,172,859,10/11/2020,726
zeinab,zineb72794546,@zineb72794546,93,430,5/14/2021,653
Ngocthaospkt,zakara_vn,@zakara_vn,38,222,1/9/2014,357
Pollaro Yuette,yuette_pollaro,@yuette_pollaro,49,35,11/26/2021,28
youyue.eth,youyouwo1115,@youyouwo1115,174,988,5/5/2020,595
Yen Pham,YenPhamSpace,@YenPhamSpace,56,312,9/18/2021,353
Xuyến Tri,xuyen_tri,@xuyen_tri,50,216,2/17/2021,303
碧连天,xjdwin,@xjdwin,124,703,4/9/2021,358
xiaoshenke,xiaoshenke4,@xiaoshenke4,56,209,6/18/2021,70
Welch Mohamed,WelchMohamed1,@WelchMohamed1,46,167,12/17/2021,162
Warzone,Warzone668,@Warzone668,58,478,1/26/2017,434
wai paing,waipaing433,@waipaing433,56,210,12/28/2021,139
94512,w94512,@w94512,208,670,5/13/2021,474
Via ⚡️🏴‍☠️,viacryptoO,@viacryptoO,59,759,9/17/2012,699
Van Navy,VanNavySEAL,@VanNavySEAL,45,292,9/22/2021,323
Urrey Randolph,UrreyRandolph2,@UrreyRandolph2,431,30,12/3/2021,16
Max® Payne,unveilabs_NG,@unveilabs_NG,76,483,4/11/2020,643
tungexo005,tungexo005,@tungexo005,34,268,11/19/2021,299
Trieu Son Quyen,TrieuSonQuyen6,@TrieuSonQuyen6,507,30,12/3/2021,16
tran trang,trantra14405342,@trantra14405342,32,276,11/19/2021,292
Tran Huu Duc,tranhuuduc244,@tranhuuduc244,206,989,6/12/2021,610
Trang dang,trangdang4296,@trangdang4296,386,463,11/23/2021,157
Toan Lee,ToanLee91970573,@ToanLee91970573,81,241,6/29/2021,138
Truong Thao,TntCrypto168,@TntCrypto168,72,503,9/27/2021,577
"Tim (📜, 🤝)",TimChay2,@TimChay2,36,466,11/19/2021,569
Thura Aung,ThuraAung256123,@ThuraAung256123,35,326,11/20/2020,467
Thu Hien Plus,ThuHienPlus,@ThuHienPlus,56,321,5/9/2021,379
Moon,thnhngu09206569,@thnhngu09206569,89,432,10/16/2021,668
ThienHaHP,ThienHaHP,@ThienHaHP,44,291,9/16/2021,305
thao duyen,thaoduyen23,@thaoduyen23,39,244,11/19/2021,289
thang10bo,thang10bo,@thang10bo,50,502,10/5/2020,615
Sylvia Brady,SylviaB05304419,@SylviaB05304419,125,988,7/16/2020,465
Stephanie Atkinson,Stephan39441801,@Stephan39441801,136,1139,7/11/2020,504
son nguyen,sonnguy84596344,@sonnguy84596344,86,434,11/16/2021,289
Son,Son71994842,@Son71994842,52,275,3/4/2021,307
smotherszuloise,smotherszuloise,@smotherszuloise,71,121,11/25/2021,56
Smithdixa,smithdixa,@smithdixa,51,533,10/5/2020,658
singwin,singwin1,@singwin1,339,1497,6/3/2021,355
Siname,Siname2020,@Siname2020,53,286,8/8/2021,292
Seyifunmi Owoeye,sheyiphunmii,@sheyiphunmii,173,196,7/13/2019,397
Shabir Ali,ShabirA94103336,@ShabirA94103336,33,541,9/4/2020,639
Scarlett J,Scarlettx228,@Scarlettx228,51,319,11/17/2021,343
Saurabh Kumar 🔶,Saurabhh37,@Saurabhh37,70,313,3/2/2021,64
Sam Flynn,SAMFLYNN99,@SAMFLYNN99,129,271,9/12/2021,273
Sako Shapasan,sako_shahpasand,@sako_shahpasand,38,226,11/30/2021,267
ronalmino,ronalmino20,@ronalmino20,55,250,8/15/2021,248
River Emma,RiverEmma4,@RiverEmma4,41,39,11/26/2021,31
Rdx Minor sarkar,RdxMinorSarkar,@RdxMinorSarkar,85,514,12/24/2021,642
Raymond,RaymondZED,@RaymondZED,198,606,9/23/2020,601
Rango Amigo,rango_amigo2022,@rango_amigo2022,48,247,11/22/2021,274
Tran Quoc Hoan,quochoancg261,@quochoancg261,209,947,6/12/2021,602
Quansma,Quansma1,@Quansma1,57,391,11/18/2020,442
الحر اليماني,QNAKZ9dhUyDquqP,@QNAKZ9dhUyDquqP,33,586,3/19/2021,666
Phuongthu12a,phuongthu12a,@phuongthu12a,51,542,10/4/2020,723
phuongnam24,phuongnam242,@phuongnam242,123,204,12/4/2021,78
